key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
brush,"Brush [B]","Pincel [B]","Pincel [B]","Pinzell [B]","画笔 [B]","畫筆 [B]","ブラシ [B]","Pennello [B]","Pinsel [B]","Pinceau [B]","Pincel [B]","Кисть [B]","Pincel [B]","Pędzel [B]","Fırça [B]","Pintzela [B]","Pintrèl [B]","แปรง [B]","브러시 [B]","Štětec [B]"
eyedropper,"Eyedropper [I]","Cuentagotas [I]","Cuentagotas [I]","Comptagotes [I]","吸管 [I]","吸管 [I]","スポイト [I]","Contagocce [I]","Pipette [I]","Pipette [I]","Conta-gotas [I]","Пипетка [I]","Conta-gotas [I]","Kroplomierz [I]","Pipet [I]","Pipeta [I]","Pipeta [I]","หลอดหยด [I]","스포이드 [I]","Kapátko [I]"
eraser,"Eraser [E]","Borrador [E]","Borrador [E]","Esborrador [E]","橡皮擦 [E]","橡皮擦 [E]","消しゴム [E]","Gomma [E]","Radiergummi [E]","Gomme [E]","Borracha [E]","Ластик [E]","Borracha [E]","Gumka [E]","Silgi [E]","Ezabagailua [E]","Goma [E]","ยางลบ [E]","지우개 [E]","Guma [E]"
paintBucket,"Paint Bucket [G]","Bote de pintura [G]","Bote de pintura [G]","Cubell de pintura [G]","油漆桶工具 [G]","油漆桶 [G]","塗りつぶしツール [G]","Secchiello [G]","Füllwerkzeug [G]","Pot de peinture [G]","Lata de Tinta [G]","Заливка [G]","Lata de Tinta [G]","Wiadro z farbą [G]","Boya kovası [G]","Pintura ontzia [G]","Pot de pintura [G]","ถังสี [G]","페인트 통 도구 [G]","Kbelík s barvou [G]"
zoomIn,"Zoom in [+]","Acercar [+]","Acercar [+]","Apropar [+]","放大 [+]","放大 [+]","ズームイン [+]","Zoom avanti [+]","Hereinzoomen [+]","Zoom avant [+]","Ampliar [+]","Приблизить [+]","Ampliar [+]","Powiększ [+]","Yakınlaştır [+]","Zooma handitu [+]","Zoom avant [+]","ซูมเข้า [+]","확대 [+]","Přiblížit [+]"
zoomOut,"Zoom out [-]","Alejar [-]","Alejar [-]","Allunyar [-]","缩小 [-]","縮小 [-]","ズームアウト [-]","Zoom indietro [-]","Herauszoomen [-]","Zoom arrière [-]","Reduzir [-]","Отдалить [-]","Reduzir [-]","Pomniejsz [-]","Uzaklaştır [-]","Zooma txikitu [-]","Zoom arrièr [-]","ซูมออก [-]","축소 [-]","Oddálit [-]"
fitToWindow,Adjust zoom to window size [0],Ajustar zoom al tamaño de ventana [0],Ajustar zoom al tamaño de ventana [0],Ajustar zoom a la mida de la finestra [0],调整缩放到窗口大小 [0],調整縮放到視窗大小 [0],ズームをウィンドウサイズに調整 [0],Regola lo zoom alla dimensione della finestra [0],Zoom an Fenstergröße anpassen [0],Ajuster le zoom à la taille de la fenêtre [0],Ajustar zoom ao tamanho da janela [0],Настроить масштаб по размеру окна [0],Ajustar zoom ao tamanho da janela [0],Dostosuj powiększenie do rozmiaru okna [0],Yakınlaştırmayı pencere boyutuna ayarla [0],Zoom-a leiho tamainara egokitu [0],Ajustar zoom a la talha de la fenèstra [0],ปรับซูมให้เข้ากับขนาดหน้าต่าง [0],창 크기에 줌 조정 [0],Přizpůsobit zvětšení velikosti okna [0]
panView,Pan view [ ],Desplazar vista [ ],Desplazar vista [ ],Desplaçar vista [ ],平移视图 [ ],平移檢視 [ ],ビューを移動 [ ],Sposta vista [ ],Ansicht verschieben [ ],Déplacer la vue [ ],Mover vista [ ],Перемещение просмотра [ ],Mover vista [ ],Przesuwanie widoku [ ],Görünümü kaydır [ ],Ikuspegia lekuz aldatu [ ],Desplaçar la vista [ ],เลื่อนมุมมอง [ ],뷰 이동 [ ],Posun pohledu [ ]
settings,Settings,Ajustes,Ajustes,Configuració,设置,設定,設定,Impostazioni,Einstellungen,Paramètres,Definições,Настройки,Configurações,Ustawienia,Ayarlar,Ezarpenak,Configuracion,การตั้งค่า,설정,Nastavení
zoom,Zoom,Zoom,Zoom,Zoom,缩放,縮放,ズーム,Zoom,Zoom,Zoom,Zoom,Масштаб,Zoom,Zoom,Powiększenie,Yakınlaştırma,Zoom,ซูม,확대/축소,Zvětšení
colorForeground,"Painting color","Color de pintado","Color de pintado","Color de pintat","涂漆颜色","塗漆顏色","塗装色","Colore di verniciatura","Lackierfarbe","Couleur de peinture","Cor de pintura","Цвет покраски","Cor de pintura","Kolor malowania","Boyama rengi","Pintzatu kolorea","Color de pintat","สีทาสี","페인팅 색상","Barva nátěru"
colorBackground,"Eraser color","Color de borrado","Color de borrado","Color d'esborrat","擦除颜色","擦除顏色","消去色","Colore di cancellazione","Radierfarbe","Couleur d'effacement","Cor de apagamento","Цвет стирания","Cor de apagamento","Kolor gumki","Silgi rengi","Ezabatu kolorea","Color d'escafatge","สีลบ","지우개 색상","Barva gumy"
