key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
changeAspectRatio,Change aspect ratio [A],Cambiar relación de aspecto [A],Cambiar relación de aspecto [A],Canviar relació d'aspecte [A],更改纵横比 [A],更改寬高比 [A],アスペクト比を変更 [A],Modifica rapporto di aspetto [A],Seitenverhältnis ändern [A],Modifier le rapport d'aspect [A],Alterar proporção de aspecto [A],Изменить соотношение сторон [A],Alterar proporção de aspecto [A],Zmień proporcje aspektu [A],En boy oranını değiştir [A],Aldatu aspektu-erlazioa [A],Cambiar lo ràtio d'aspècte [A],เปลี่ยนอัตราส่วนภาพ [A],종횡비 변경 [A],Změnit poměr stran [A]
ChangeAspectRatioDesc,Choose the screen aspect ratio to which you want to stretch the image to simulate how it would look on a system that doesn’t have square pixels,Elige la relación de aspecto de la pantalla a la que quieres estirar la imagen para simular cómo se vería en un sistema que no tiene píxeles cuadrados,Elige la relación de aspecto de la pantalla a la que quieres estirar la imagen para simular cómo se vería en un sistema que no tiene píxeles cuadrados,Escull la relació d'aspecte de la pantalla a la qual vols estirar la imatge per simular com es veuria en un sistema que no té píxels quadrats,选择您想要拉伸图像的屏幕宽高比，以模拟在没有方形像素的系统上的显示效果,選擇您想要拉伸圖像的螢幕寬高比，以模擬在沒有方形像素的系統上的顯示效果,画像を伸ばしたい画面のアスペクト比を選択して、四角いピクセルを持たないシステムでの表示をシミュレートします,Scegli il rapporto di aspetto dello schermo a cui vuoi allungare l'immagine per simulare come apparirebbe su un sistema che non ha pixel quadrati,Wählen Sie das Bildschirmseitenverhältnis, auf das Sie das Bild strecken möchten, um zu simulieren, wie es auf einem System ohne quadratische Pixel aussehen würde,Choisissez le rapport d'aspect de l'écran sur lequel vous voulez étirer l'image pour simuler son apparence sur un système qui n'a pas de pixels carrés,Escolha a proporção de aspecto do ecrã para o qual deseja esticar a imagem para simular como ficaria num sistema que não tem pixeis quadrados,Выберите соотношение сторон экрана, на которое вы хотите растянуть изображение, чтобы симулировать, как оно выглядело бы на системе без квадратных пикселей,Escolha a proporção de aspecto da tela para a qual você quer esticar a imagem para simular como ela ficaria em um sistema que não tem pixels quadrados,Wybierz proporcje ekranu, na które chcesz rozciągnąć obraz, aby symulować, jak wyglądałby na systemie bez kwadratowych pikseli,Görüntüyü germek istediğiniz ekran en boy oranını seçin, kare pikseli olmayan bir sistemde nasıl görüneceğini simüle etmek için,Aukeratu pantailaren aspektu-erlazioa, irudia luzatu nahi duzun horretara, pixel karraturik ez duen sistema batean nola ikusiko litzatekeen simulatzeko,Causissètz lo ràtio d'aspècte de l'ecran cap a lo qual volètz estirar l'imatge per simular cossí se veiriá sus un sistèma que a pas de pixèls carràts,เลือกอัตราส่วนภาพหน้าจอที่คุณต้องการยืดภาพเพื่อจำลองว่ามันจะดูอย่างไรบนระบบที่ไม่มีพิกเซลสี่เหลี่ยม,이미지를 늘릴 화면 종횡비를 선택하여 사각 픽셀이 없는 시스템에서 어떻게 보일지 시뮬레이션하세요,Vyberte poměr stran obrazovky, na který chcete obraz protáhnout, abyste simulovali, jak by vypadal na systému, který nemá čtvercové pixely
ar32,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2,3:2
ar43,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3,4:3
ar4339,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39,43:39
ar9183,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83,91:83
originalArDesc,Unstretched square pixels,Píxeles cuadrados sin estirar,Píxeles cuadrados sin estirar,Píxels quadrats sense estirar,未拉伸的方形像素,未拉伸的方形像素,伸張されていない正方形ピクセル,Pixel quadrati non stirati,Ungestreckte quadratische Pixel,Pixels carrés non étirés,Pixéis quadrados não esticados,Нерастянутые квадратные пиксели,Pixéis quadrados não esticados,Nierozciągnięte kwadratowe piksele,Gerilmemiş kare pikseller,Luzatu gabeko pixel karratuak,Pixèls carràts non estira,พิกเซลสี่เหลี่ยมที่ไม่ยืด,늘리지 않은 정사각형 픽셀,Neroztažené čtvercové pixely
ar43Desc,"Old school tv, computer or arcade monitor","Televisor antiguo, ordenador o monitor de arcade","Televisor antiguo, ordenador o monitor de arcade","Televisor antic, ordinador o monitor d'arcade","老式电视、电脑或街机显示器","老式電視、電腦或街機顯示器","旧式テレビ、コンピューターまたはアーケードモニター","TV old school, computer o monitor arcade","Altmodischer Fernseher, Computer oder Arcade-Monitor","Téléviseur old school, ordinateur ou moniteur arcade","TV old school, computador ou monitor de arcade","Старый школьный телевизор, компьютер или аркадный монитор","TV old school, computador ou monitor de arcade","Stary szkolny telewizor, komputer lub monitor arcade","Eski okul TV, bilgisayar veya arcade monitörü","Eskola zaharreko telebista, ordenagailu edo arkade monitorea","Televisor old school, ordenador o monitor arcade","ทีวีโรงเรียนเก่า, คอมพิวเตอร์หรือจอมอนิเตอร์อาร์เคด","올드 스쿨 TV, 컴퓨터 또는 아케이드 모니터","Starý školní televizor, počítač nebo arkádový monitor"
ar9183Desc,"Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy","Game Boy"
ar4339Desc,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color,Game Boy Color
ar32Desc,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance
changeDisplaySimulation,Change display simulation [D],Cambiar simulación de pantalla [D],Cambiar simulación de pantalla [D],Canviar simulació de pantalla [D],更改显示模拟 [D],更改顯示模擬 [D],ディスプレイシミュレーションを変更 [D],Modifica simulazione display [D],Anzeigesimulation ändern [D],Modifier la simulation d'affichage [D],Alterar simulação de exibição [D],Изменить симуляцию дисплея [D],Alterar simulação de exibição [D],Zmień symulację wyświetlacza [D],Ekran simülasyonunu değiştir [D],Pantaila simulazioa aldatu [D],Cambiar simulacion d'afichage [D],เปลี่ยนการจำลองจอแสดงผล [D],디스플레이 시뮬레이션 변경 [D],Změnit simulaci zobrazení [D]
